Year,Player,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Drafted..tm.rnd.yr.,BMI,Player_Type,Position_Type,Position,target
2010,76,21.0,21,1.778,84.36818082,4.56,85.09,13.0,266.7,6.98,4.18,934,26.68794731,1,0,15,0
2010,1067,22.0,113,1.8796,110.2229459,4.78,81.28,32.0,292.1,6.84,4.27,919,31.19903357,0,3,8,0
2010,601,20.0,47,1.8034,103.8726527,4.64,83.82,15.0,271.78,7.56,4.67,933,31.93868949,1,0,11,0
2010,412,22.0,128,1.8034,84.36818082,4.4,100.33,12.0,320.04,6.64,4.1,911,25.94146832,1,0,15,0
2010,826,22.0,55,1.9558,150.1390745,5.24,69.85,27.0,233.68,7.85,4.93,965,39.25046903,1,4,7,0
2010,65,20.0,126,1.9558,146.5103355,5.36,83.82,21.0,251.46,8.17,4.97,964,38.30181721,1,4,9,0
2010,66,22.0,88,1.8542,105.6870222,4.67,83.82,15.0,307.34,7.09,4.49,993,30.74032878,1,0,11,0
2010,856,21.0,118,1.8288,109.7693535,4.7,74.93,26.0,292.1,6.91,4.59,979,32.82076356,0,3,8,0
2010,714,21.0,5,1.778,85.27536556,4.4,83.82,11.0,299.72,7.0,4.19,997,26.97491448,1,0,15,0
2010,369,23.0,5,1.8542,110.6765383,4.62,88.9,25.0,276.86,7.08,4.3,1040,32.19158894,0,3,8,0
2010,457,21.0,111,1.778,90.26488163,4.42,88.9,17.0,304.8,7.12,4.34,1008,28.55323395,1,0,15,0
2010,69,22.0,163,1.9304,117.4804238,4.71,90.17,19.0,287.02,6.99,4.57,1035,31.52614632,1,0,14,0
2010,665,21.0,170,1.905,104.7798375,4.62,81.28,22.0,294.64,7.36,4.41,1031,28.87272407,0,1,5,0
