건물,호선,역,주소,cor
다이소,3.0,대곡역,경기도 고양시 덕양구 토당동 토당로 110,"X :126.817703, Y :37.6249067"
올리브영,3.0,대곡역,일산서구 일산동 1084-1번지 고양시 경기도 KR,"X :126.767560, Y :37.6774080"
스타벅스,3.0,대곡역,경기도 고양시 일산동구 일산동구 백석동 1296-3,"X :126.787380, Y :37.6439654"
이디야,5.0,마천역,거여동 133-77번지 송파구 서울특별시 KR,"X :127.146133, Y :37.4980654"
다이소,5.0,마천역,마천동 127-9번지 지하 송파구 서울특별시 KR,"X :127.147985, Y :37.4971350"
올리브영,5.0,마천역,서울특별시 송파구 거여동 27-5,"X :127.145523, Y :37.4927142"
스타벅스,5.0,마천역,서울특별시 송파구 마천동 43-1,"X :127.147629, Y :37.4997484"
이디야,5.0,거여역,서울특별시 송파구 거여1동 오금로 497,"X :127.144168, Y :37.4934907"
다이소,5.0,거여역,서울특별시 송파구 거여2동 거마로 12 지하1층,"X :127.144994, Y :37.4938230"
올리브영,5.0,거여역,서울특별시 송파구 거여동 27-5,"X :127.145523, Y :37.4927142"
스타벅스,5.0,거여역,서울특별시 송파구 오금로 493,"X :127.143682, Y :37.4936264"
이디야,5.0,개롱역,서울특별시 송파구 오금동 165,"X :127.136567, Y :37.4986263"
다이소,5.0,개롱역,서울특별시 송파구 가락본동 중대로 109,"X :127.120478, Y :37.4938233"
올리브영,5.0,개롱역,서울특별시 송파구 가락동 167-4,"X :127.135637, Y :37.4973029"
스타벅스,5.0,개롱역,서울특별시 송파구 오금로 420,"X :127.136077, Y :37.4969870"
이디야,5.0,오금역,"가락 스타 클래스, 8 가락동 송파구 서울특별시","X :x좌표없음, Y :y좌표없음"
다이소,5.0,오금역,서울특별시 송파구 가락동 7,"X :127.125311, Y :37.5030626"
올리브영,5.0,오금역,서울특별시 송파구 가락동 167-4,"X :127.135637, Y :37.4973029"
스타벅스,5.0,오금역,송파구 오금동 17-8,"X :127.126643, Y :37.5085392"
이디야,5.0,방이역,서울특별시 송파구 방이동 208-6,"X :127.124699, Y :37.5095504"
다이소,5.0,방이역,서울특별시 송파구 방이동 백제고분로48길 5,"X :127.114003, Y :37.5117865"
올리브영,5.0,방이역,서울특별시 송파구 방이동 207-10,"X :127.125490, Y :37.5090270"
스타벅스,5.0,방이역,송파구 오금동 17-8,"X :127.126643, Y :37.5085392"
이디야,5.0,올림픽공원역,서울특별시 송파구 방이동 89-11,"X :127.131044, Y :37.5157154"
다이소,5.0,올림픽공원역,서울특별시 송파구 방이동 백제고분로48길 5,"X :127.114003, Y :37.5117865"
올리브영,5.0,올림픽공원역,서울특별시 송파구 방이동 89-12,"X :127.133249, Y :37.5153256"
스타벅스,5.0,올림픽공원역,서울특별시 송파구 위례성대로 102 태평양파크빌라트 1층,"X :127.122997, Y :37.5133364"
이디야,5.0,둔촌동역,서울특별시 강동구 성내3동 415-8,"X :127.136237, Y :37.5292066"
다이소,5.0,둔촌동역,서울특별시 강동구 양재대로 1355 지하 1층,"X :127.135532, Y :37.5273873"
올리브영,5.0,둔촌동역,서울특별시 강동구 양재대로 1317,"X :127.134124, Y :37.5240282"
스타벅스,5.0,둔촌동역,서울특별시 강동구 양재대로 1303,"X :127.133906, Y :37.5227400"
