건물,호선,역,주소,cor
다이소,2.0,서초,서울특별시 서초구 서초동 서초대로 320,"X :127.016581, Y :37.4941797"
이디야,2.0,서초,서울특별시 서초구 서초대로48길 16,"X :127.011311, Y :37.4920358"
올리브영,2.0,서초,서울특별시 서초구 서초3동 1543-11,"X :127.009207, Y :37.4899006"
스타벅스,2.0,방배,"908-10 Bangbae-Dong Seocho-Gu, 1F, Seoul, 서울특별시","X :x좌표없음, Y :y좌표없음"
다이소,2.0,방배,서울특별시 서초구 방배동 효령로 117 한성빌딩,"X :126.996928, Y :37.4814584"
이디야,2.0,방배,서울특별시 서초구 방배동 방배로 87,"X :126.996871, Y :37.4821612"
올리브영,2.0,방배,서울특별시 서초구 방배본동 768-12,"X :126.985800, Y :37.4946481"
스타벅스,2.0,사당,"1031-27 Sadang-Dong Dongjak-Gu, 1,2F, Seoul, 서울특별시","X :x좌표없음, Y :y좌표없음"
다이소,2.0,사당,서울특별시 동작구 남부순환로 2057,"X :126.977336, Y :37.4768789"
이디야,2.0,사당,서울특별시 관악구 남현동 과천대로 951,"X :126.981271, Y :37.4754561"
올리브영,2.0,사당,서울특별시 동작구 사당동 동작대로 지하 3,"X :126.981609, Y :37.4768977"
스타벅스,2.0,낙성대,서울특별시 관악구 봉천동 남부순환로 1948,"X :126.965036, Y :37.4762000"
다이소,2.0,낙성대,서울특별시 관악구 봉천동 1656-10,"X :126.966280, Y :37.4756868"
이디야,2.0,낙성대,서울특별시 관악구 봉천동 1663-5,"X :126.957731, Y :37.4789907"
올리브영,2.0,낙성대,서울특별시 관악구 남부순환로 1908,"X :126.961191, Y :37.4776674"
스타벅스,2.0,서울대입구,서울특별시 관악구 청룡동 남부순환로 1812,"X :126.951308, Y :37.4811145"
다이소,2.0,서울대입구,서울특별시 관악구 봉천동 남부순환로 1840,"X :126.954282, Y :37.4803409"
이디야,2.0,서울대입구,서울특별시 관악구 중앙동,"X :우편번호없음, Y :x좌표없음"
올리브영,2.0,서울대입구,서울특별시 관악구 남부순환로 1840,"X :126.954282, Y :37.4803409"
스타벅스,2.0,봉천,서울특별시 관악구 봉천동 927-5 청운빌딩,"X :126.942229, Y :37.4820473"
다이소,2.0,봉천,서울특별시 관악구 봉천동 남부순환로 1731,"X :126.942443, Y :37.4825610"
이디야,2.0,봉천,서울특별시 관악구 봉천동,"X :우편번호없음, Y :x좌표없음"
올리브영,2.0,봉천,서울특별시 관악구 남부순환로 1735,"X :126.943031, Y :37.4825073"
스타벅스,2.0,신림,서울특별시 관악구 신림동 남부순환로 1619,"X :126.930468, Y :37.4847169"
다이소,2.0,신림,서울특별시 관악구 신림동 신림로 354,"X :126.929720, Y :37.4859328"
이디야,2.0,신림,서울특별시 관악구 신림동 1641-9,"X :126.929972, Y :37.4831758"
올리브영,2.0,신림,서울 관악구 서원[신림본동]동 1640-5,"X :우편번호없음, Y :x좌표없음"
스타벅스,2.0,신대방,서울특별시 동작구 상도동 상도로 102,"X :126.932025, Y :37.4998546"
다이소,2.0,신대방,서울특별시 관악구 남부순환로 1474,"X :126.914190, Y :37.4814083"
이디야,2.0,신대방,서울특별시 관악구 신사동,"X :우편번호없음, Y :x좌표없음"
올리브영,2.0,신대방,서울특별시 동작구 신대방동 395-69,"X :126.924073, Y :37.4912541"
스타벅스,2.0,구디단,서울특별시 구로구 구로동 디지털로32길 30,"X :126.896482, Y :37.4834572"
다이소,2.0,구디단,서울특별시 관악구 신림동 시흥대로 557 지하 1층,"X :우편번호없음, Y :x좌표없음"
