,건물,호선,역,주소
303,올리브영,3,잠원역,서울특별시 서초구 잠원로 51 NC백화점 강남점 1관 1층
304,스타벅스,3,잠원역,서울특별시 서초구 잠원동 신반포로 257
305,이디야,3,신사역,서울특별시 강남구 압구정로2길 62
306,다이소,3,신사역,서울특별시 강남구 논현동 강남대로 596
307,올리브영,3,신사역,서울특별시 강남구 도산대로 116 논현빌딩 1층
308,스타벅스,3,신사역,서울특별시 강남구 도산대로 116 논현빌딩 1층
309,이디야,3,압구정역,논현로167길 16 KR 서울특별시 강남구 106 호 2층
310,다이소,3,압구정역,서울특별시 강남구 논현로 878
311,올리브영,3,압구정역,서울특별시 강남구 신사동 611-1
312,스타벅스,3,압구정역,서울특별시 강남구 압구정로30길 17
313,이디야,3,옥수역,서울특별시 성동구 옥수동 365-20
314,다이소,3,옥수역,서울특별시 성동구 동호로 21
315,올리브영,3,옥수역,서울특별시 성동구 금호동4가 544
316,스타벅스,3,옥수역,서울특별시 성동구 옥수동 262-1
317,이디야,3,금호역,"66, 금호산길 성동구 서울특별시"
318,다이소,3,금호역,서울특별시 성동구 독서당로 290-1
319,올리브영,3,금호역,서울특별시 성동구 금호동4가 544
320,스타벅스,3,금호역,서울특별시 성동구 금호동4가 1483
321,이디야,3,약수역,서울특별시 중구 신당동 373-70번지 1층
322,다이소,3,약수역,서울특별시 중구 신당동 다산로 130-1
323,올리브영,3,약수역,신당동 369-7번지 중구 서울특별시 KR
324,스타벅스,3,약수역,서울특별시 중구 다산로 129
325,이디야,3,동대입구역,서울특별시 중구 신당동 373-70번지 1층
326,다이소,3,동대입구역,서울특별시 중구 신당동 다산로 130-1
327,올리브영,3,동대입구역,신당동 369-7번지 중구 서울특별시 KR
328,스타벅스,3,동대입구역,서울특별시 중구 장충단로 166
329,이디야,3,충무로역,서울특별시 중구 필동 퇴계로 188
330,다이소,3,충무로역,서울특별시 중구 명동길 43
331,올리브영,3,충무로역,서울특별시 중구 필동2가 37-10
332,스타벅스,3,충무로역,서울특별시 중구 필동 퇴계로 197
333,이디야,3,을지로3가역,서울특별시 중구 수표로 45
334,다이소,3,을지로3가역,서울특별시 중구 명동길 43
335,올리브영,3,을지로3가역,서울특별시 중구 명동3길 36
336,스타벅스,3,을지로3가역,서울특별시 중구 수표로 34
337,이디야,3,안국역,서울특별시 중구 남대문로 29-2
338,다이소,3,안국역,서울특별시 종로구 안국동 율곡로 45
339,올리브영,3,안국역,서울특별시 종로구 안국동 175-3
340,스타벅스,3,안국역,서울특별시 종로구 재동 109
341,이디야,3,경복궁역,서울특별시 종로구 자하문로 7
342,다이소,3,경복궁역,서울특별시 종로구 적선동 사직로 125
343,올리브영,3,경복궁역,서울특별시 종로구 종로 19
344,스타벅스,3,경복궁역,서울특별시 종로구 자하문로4길 6
345,이디야,3,독립문역,서울특별시 종로구 무악동 통일로 266
346,다이소,3,독립문역,서울특별시 서대문구 홍제동 469
347,올리브영,3,독립문역,서울특별시 종로구 교남동 62
348,스타벅스,3,독립문역,서울특별시 종로구 통일로 168-1
349,이디야,3,무악재역,서울특별시 서대문구 홍제동 90-47
350,다이소,3,무악재역,서울특별시 서대문구 홍제동 161-1
351,올리브영,3,무악재역,서울특별시 서대문구 홍제3동 통일로 446
352,스타벅스,3,무악재역,서울특별시 서대문구 통일로 451
353,이디야,3,홍제역,서울특별시 서대문구 홍제동
