건물,호선,역,주소
다이소,4,창동,서울특별시 도봉구 창동 덕릉로63가길 68
이디야,4,창동,서울특별시 도봉구 창동 마들로11길 65
올리브영,4,창동,서울특별시 도봉구 창동 74-14
스타벅스,4,쌍문,도봉구 창동 659-5
다이소,4,쌍문,서울특별시 도봉구 도봉로 491
이디야,4,쌍문,서울특별시 도봉구 쌍문동 88-20
올리브영,4,쌍문,서울특별시 도봉구 창동 659-5
스타벅스,4,수유,서울특별시 강북구 도봉로 342 1층
다이소,4,수유,서울특별시 강북구 번동 446-14
이디야,4,수유,서울특별시 강북구 수유동 도봉로 355
올리브영,4,수유,서울특별시 강북구 번동 446-14
스타벅스,4,미아,서울특별시 강북구 도봉로 196
다이소,4,미아,서울특별시 강북구 미아동 월계로 3
이디야,4,미아,서울특별시 강북구 도봉로10길 28
올리브영,4,미아,서울특별시 강북구 미아동 도봉로 188
스타벅스,4,미아사거리,서울특별시 강북구 도봉로 32
다이소,4,미아사거리,서울특별시 강북구 미아동 월계로 3
이디야,4,미아사거리,서울특별시 강북구 도봉로10길 28
올리브영,4,미아사거리,서울특별시 강북구 미아동 도봉로 188
스타벅스,4,길음,서울특별시 성북구 돈암동 625-2 BR빌딩
다이소,4,길음,서울특별시 성북구 길음동 길음로9길 50
이디야,4,길음,서울특별시 성북구 길음동 1282
올리브영,4,길음,서울특별시 성북구 길음동 길음로 33 뉴타운상가 A동 1층 3호
스타벅스,4,성신여대입구,성북구 동선동1가 92-1
다이소,4,성신여대입구,서울특별시 성북구 동선동1가 동소문로나길 2
이디야,4,성신여대입구,서울특별시 성북구 동소문동6가 147
올리브영,4,성신여대입구,서울특별시 성북구 동소문로22길 39
스타벅스,4,한성대입구,서울특별시 성북구 성북동1가 35-1
다이소,4,한성대입구,서울특별시 성북구 동소문로 14
이디야,4,한성대입구,서울특별시 성북구 동소문동1가 90
올리브영,4,한성대입구,서울특별시 성북구 동소문동2가
스타벅스,4,혜화,서울특별시 종로구 대학로12길 4
다이소,4,혜화,서울특별시 종로구 창경궁로 239
이디야,4,혜화,서울특별시 종로구 명륜2가 32
올리브영,4,혜화,서울특별시 종로구 혜화동 185
스타벅스,4,동대문,서울특별시 중구 장충단로 229
다이소,4,동대문,서울특별시 종로구 창신동 율곡로 309
이디야,4,동대문,서울특별시 종로구 율곡로 286
올리브영,4,동대문,서울특별시 중구 장충단로 251
스타벅스,4,동역사,서울특별시 중구 장충단로 229
다이소,4,동역사,서울특별시 종로구 창신동 율곡로 309
이디야,4,동역사,광희동1가 189-2번지 1층 중구 서울특별시 KR
올리브영,4,동역사,서울특별시 중구 장충단로 251
스타벅스,4,충무로,서울특별시 중구 필동 퇴계로 197
다이소,4,충무로,서울특별시 중구 명동길 43
이디야,4,충무로,서울특별시 중구 필동 퇴계로 188
올리브영,4,충무로,서울특별시 중구 필동2가 37-10
스타벅스,4,명동,서울특별시 중구 퇴계로 101
다이소,4,명동,서울특별시 중구 명동길 43
이디야,4,명동,서울특별시 중구 퇴계로 103
올리브영,4,명동,서울특별시 중구 퇴계로 127
스타벅스,4,회현,서울특별시 중구 회현동1가 퇴계로 72
다이소,4,회현,서울특별시 중구 회현동1가 199-6
이디야,4,회현,서울특별시 중구 퇴계로 72
올리브영,4,회현,서울특별시 중구 남대문로5가 541
스타벅스,4,서울역,서울특별시 용산구 동자동 43-205 서울역(철도역
다이소,4,서울역,서울특별시 용산구 한강대로 405
이디야,4,서울역,서울특별시 용산구 동자동 후암로 93
올리브영,4,서울역,서울특별시 용산구 한강대로 405
스타벅스,4,숙대입구,서울특별시 용산구 갈월동 69-5
다이소,4,숙대입구,서울특별시 용산구 갈월동 한강대로77길 12 국제전산빌딩
이디야,4,숙대입구,"번지 2 층, 87 갈월동 용산구 서울특별시"
올리브영,4,숙대입구,서울특별시 용산구 남영동 한강대로 285
스타벅스,4,삼각지,한강로2가 420번지 용산푸르지오써밋 지상1 2층 상가동 111 213 214 215호 용산구 서울특별시 KR
다이소,4,삼각지,서울특별시 용산구 한강로동 한강대로21나길 7
이디야,4,삼각지,서울특별시 용산구 한강로1가 한강대로 205
올리브영,4,삼각지,서울특별시 용산구 한강로3가 40-999
스타벅스,4,신용산,서울특별시 용산구 한강로동 한강대로 95 103호
다이소,4,신용산,서울특별시 용산구 한강로동 한강대로21나길 7
이디야,4,신용산,서울특별시 용산구 한강대로 52-1
올리브영,4,신용산,서울특별시 용산구 한강로2가 한강대로 95 래미안용산더센트럴 1층 101호
스타벅스,4,이촌,서울특별시 용산구 이촌로 276
다이소,4,이촌,서울특별시 용산구 한강로동 한강대로21나길 7
이디야,4,이촌,이촌동 301-53번지 2층 301동 26호 용산구 서울특별시 KR
올리브영,4,이촌,서울특별시 용산구 이촌1동 이촌로75길 16
스타벅스,4,동작,서울특별시 서초구 방배동 755-14
다이소,4,동작,서울특별시 동작구 사당로17가길 16 지하 1층
이디야,4,동작,"2 층, 135-6 사당동 동작구 서울특별시"
올리브영,4,동작,서울특별시 동작구 사당동 동작대로 지하 3
스타벅스,4,총신대입구,서울특별시 서초구 동작대로 112
